game,cluster,classifier,preference,score,baseline,metric
solid,0,True,True,0.6350992345735984,0.48135786797878755,accuracy
solid,1,True,True,0.7235979527192684,0.580425164691168,accuracy
solid,2,True,True,0.6648230585066587,0.6526066137961992,accuracy
solid,3,True,True,0.6043813667232597,0.4002875636672326,accuracy
solid,4,True,True,0.5801461249926162,0.568993738555142,accuracy
solid,0,False,True,0.09149302996857396,7.083978880845562e-34,ccc
solid,1,False,True,0.15770081505535805,3.516731898347996e-33,ccc
solid,2,False,True,0.08223838094611811,-2.3332504489479807e-34,ccc
solid,3,False,True,0.04564955683305662,2.5832243615578903e-33,ccc
solid,4,False,True,0.024229928149486473,-9.443842659068353e-33,ccc
solid,0,True,False,0.6583249622699043,0.5090448496006978,accuracy
solid,1,True,False,0.6887478452284391,0.4831172884218165,accuracy
solid,2,True,False,0.9263721641244063,0.5331359185899545,accuracy
solid,3,True,False,0.5670926765719307,0.45964958697122027,accuracy
solid,4,True,False,0.5619402161400517,0.4657466203624746,accuracy
solid,0,False,False,0.23231333420618946,0.0,ccc
solid,1,False,False,0.31118741481680073,0.0,ccc
solid,2,False,False,0.839402344431184,0.0,ccc
solid,3,False,False,0.03666172993434915,0.0,ccc
solid,4,False,False,0.04103161338403751,0.0,ccc
fps,0,True,True,0.7132002047601566,0.47932730375394944,accuracy
fps,1,True,True,0.5599523023298477,0.5230320124747753,accuracy
fps,2,True,True,0.6889745854183176,0.5239631538557875,accuracy
fps,3,True,True,0.7774891774891776,0.5458701298701298,accuracy
fps,4,True,True,0.7446864314768832,0.5582653053382314,accuracy
fps,0,False,True,0.11481496951357761,1.455054700227565e-34,ccc
fps,1,False,True,0.06046498077212677,6.211322873744677e-33,ccc
fps,2,False,True,0.04682711249706252,-6.691883713656913e-33,ccc
fps,3,False,True,0.14829187374982056,2.9168453039733447e-33,ccc
fps,4,False,True,0.20364141842000438,-8.02284074819391e-33,ccc
fps,0,True,False,0.6888537732337843,0.5213150168352114,accuracy
fps,1,True,False,0.6018217117480592,0.5433444456731642,accuracy
fps,2,True,False,0.6841462405422447,0.4653063918663303,accuracy
fps,3,True,False,0.8303680633092398,0.5960570475276358,accuracy
fps,4,True,False,0.7016616920529073,0.47785688777989926,accuracy
fps,0,False,False,0.32916099299798934,0.0,ccc
fps,1,False,False,0.059241462171962356,0.0,ccc
fps,2,False,False,0.36246768447578803,0.0,ccc
fps,3,False,False,0.4951577604003984,0.0,ccc
fps,4,False,False,0.31086947712903734,0.0,ccc
platform,0,True,True,0.6161983244651136,0.45454690573664464,accuracy
platform,1,True,True,0.6278352597912693,0.4089567201586055,accuracy
platform,2,True,True,0.6255826265497907,0.5421337755666114,accuracy
platform,3,True,True,0.6121266729505462,0.5200203025228631,accuracy
platform,4,True,True,0.5752113766020092,0.48076647693740887,accuracy
platform,0,False,True,0.04633669006660844,3.0412857577504087e-34,ccc
platform,1,False,True,0.03878139018868963,-6.928255157539601e-34,ccc
platform,2,False,True,0.06443164479553119,4.776675731436222e-34,ccc
platform,3,False,True,0.024763414721955646,-1.0835036938997777e-33,ccc
platform,4,False,True,0.04572757872774923,-7.157797905879483e-33,ccc
platform,0,True,False,0.6196230456963077,0.5175479182918735,accuracy
platform,1,True,False,0.5726943822263159,0.47159992464047223,accuracy
platform,2,True,False,0.5581205340525566,0.5557383201030094,accuracy
platform,3,True,False,0.6835974366697721,0.4781233985407211,accuracy
platform,4,True,False,0.6142205409247963,0.5148976914338617,accuracy
platform,0,False,False,0.13155307005539058,0.0,ccc
platform,1,False,False,0.00887736876053217,0.0,ccc
platform,2,False,False,0.03259230412712265,0.0,ccc
platform,3,False,False,0.21418962570979488,0.0,ccc
platform,4,False,False,0.10106361660658622,0.0,ccc
