game,cluster,classifier,preference,score,baseline,metric
solid,0,False,True,0.20008031470947701,-1.0818445822658398e-31,ccc
solid,1,False,True,0.2919062338912606,-1.0524609303236213e-31,ccc
solid,2,False,True,0.19623628204150562,3.363257767526169e-32,ccc
solid,3,False,True,0.01253822063264665,-1.122910780649715e-31,ccc
solid,4,False,True,0.21071814822379614,1.511417724830934e-31,ccc
fps,0,False,True,0.17292091400297446,-5.409775352607513e-32,ccc
fps,1,False,True,0.017902521020207396,3.786120742474738e-32,ccc
fps,2,False,True,0.11352976495878928,3.559682421815335e-33,ccc
fps,3,False,True,0.061492986728048926,9.044120513038837e-32,ccc
fps,4,False,True,0.23673176596143933,-4.997658553549207e-32,ccc
platform,0,False,True,0.10554447834983197,-1.9762218050547554e-31,ccc
platform,1,False,True,0.08456401743155703,-9.226076049681503e-32,ccc
platform,2,False,True,0.05736065119590261,-1.1850802257312708e-31,ccc
platform,3,False,True,0.04468165358903646,8.085326963139993e-32,ccc
platform,4,False,True,0.024301359093769112,1.3188411153242525e-32,ccc
solid,0,False,False,0.02497854334702078,-1.3238178806455895e-32,ccc
solid,1,False,False,0.002644879397578259,-2.7066337009086634e-33,ccc
solid,2,False,False,0.1058089992929363,1.1748166750818957e-32,ccc
solid,3,False,False,0.008463216994079505,1.0139655605915682e-32,ccc
solid,4,False,False,0.03754275879973594,7.368575899463497e-33,ccc
fps,0,False,False,0.012393514961683491,4.248502326590078e-32,ccc
fps,1,False,False,0.052304441356065254,1.0059241413412632e-32,ccc
fps,2,False,False,-0.02350548785222844,-9.862295971116262e-33,ccc
fps,3,False,False,0.03664525124418272,1.435902739850302e-32,ccc
fps,4,False,False,0.07864716390779468,-5.3186902746361514e-33,ccc
platform,0,False,False,0.011942712607060778,5.778702326266856e-32,ccc
platform,1,False,False,0.042644635272564776,3.4681964284746416e-32,ccc
platform,2,False,False,0.027058913190612505,2.969543075995654e-32,ccc
platform,3,False,False,-0.002292860817816586,-4.866174792405466e-33,ccc
platform,4,False,False,-0.015592041441223298,-1.8179081093604778e-32,ccc
solid,0,True,True,0.6065768696862834,0.48135786797878755,accuracy
solid,1,True,True,0.6390743988498959,0.580425164691168,accuracy
solid,2,True,True,0.6538801810564117,0.6526066137961992,accuracy
solid,3,True,True,0.5886470713073005,0.4002875636672326,accuracy
solid,4,True,True,0.6156614389509126,0.568993738555142,accuracy
fps,0,True,True,0.6627169859050395,0.47932730375394944,accuracy
fps,1,True,True,0.49014431602764014,0.5230320124747753,accuracy
fps,2,True,True,0.5876239129355033,0.5239631538557875,accuracy
fps,3,True,True,0.7251948051948053,0.5458701298701298,accuracy
fps,4,True,True,0.7082532323806782,0.5582653053382314,accuracy
platform,0,True,True,0.5956208789567334,0.45454690573664464,accuracy
platform,1,True,True,0.6064631728575168,0.4089567201586055,accuracy
platform,2,True,True,0.5569046829345338,0.5421337755666114,accuracy
platform,3,True,True,0.5890689407610712,0.5200203025228631,accuracy
platform,4,True,True,0.5313135540175618,0.48076647693740887,accuracy
solid,0,True,False,0.5744221312582746,0.5090448496006978,accuracy
solid,1,True,False,0.5536050287809466,0.4831172884218165,accuracy
solid,2,True,False,0.5413970023835495,0.5331359185899545,accuracy
solid,3,True,False,0.5530555774744206,0.45964958697122027,accuracy
solid,4,True,False,0.5171402331097225,0.4657466203624746,accuracy
fps,0,True,False,0.5976898693148188,0.5213150168352114,accuracy
fps,1,True,False,0.5877941921276765,0.5433444456731642,accuracy
fps,2,True,False,0.528484197667087,0.4653063918663303,accuracy
fps,3,True,False,0.6315321606498078,0.5960570475276358,accuracy
fps,4,True,False,0.591589242858655,0.47785688777989926,accuracy
platform,0,True,False,0.5349762457576126,0.5175479182918735,accuracy
platform,1,True,False,0.5144658893470935,0.47159992464047223,accuracy
platform,2,True,False,0.5479923319880189,0.5557383201030094,accuracy
platform,3,True,False,0.5082287233624905,0.4781233985407211,accuracy
platform,4,True,False,0.5373187573655659,0.5148976914338617,accuracy
