,Position,Arousal,Score
119,"[23.6328, 1.382083, -60.79483]",0,0
120,"[20.59651, 1.443265, -54.79521]",0,0
121,"[19.16667, 1.644012, -47.88609]",0,0
122,"[19.60878, 2.011554, -40.39682]",0,0
123,"[21.60196, 2.575211, -32.6003]",0,0
124,"[24.659, 3.34946, -24.5787]",0,0
125,"[28.40052, 4.336209, -16.38864]",0,0
126,"[32.32571, 5.549632, -8.269991]",0,0
127,"[33.16217, 6.657768, -1.67098]",0,0
128,"[32.82885, 7.680341, 3.914379]",0,0
129,"[32.0808, 8.472982, 9.208373]",0,0
130,"[30.77219, 9.245253, 14.72169]",0,0
131,"[28.36866, 9.877577, 20.06974]",0,0
132,"[24.8679, 10.45611, 25.59028]",0,0
133,"[21.09249, 10.96252, 31.57155]",0,0
134,"[17.94923, 11.37986, 38.14087]",1,0
135,"[15.95015, 11.67217, 45.12785]",1,0
136,"[15.07502, 11.84936, 52.46284]",1,0
137,"[15.0399, 11.90657, 60.05394]",1,0
138,"[15.61709, 11.88995, 67.89031]",1,0
139,"[16.79091, 11.88906, 76.60349]",1,0
140,"[18.44879, 11.88751, 86.2127]",1,0
141,"[20.47171, 11.88752, 96.56179]",1,0
142,"[22.77999, 11.88765, 107.5182]",1,0
143,"[25.31149, 11.88765, 118.9734]",1,0
144,"[28.01643, 11.88764, 130.8385]",1,0
145,"[30.85484, 11.88764, 143.0405]",1,0
146,"[33.27606, 11.91366, 155.2211]",1,0
147,"[33.15469, 11.92047, 165.8439]",1,0
148,"[32.76341, 11.91397, 176.2443]",1,0
149,"[32.21098, 11.71289, 187.0226]",1,0
150,"[31.6909, 11.13547, 197.5721]",1,0
151,"[31.14873, 10.26665, 207.9431]",1,0
152,"[30.59834, 9.03427, 218.4321]",1,0
153,"[30.05742, 7.432268, 228.7675]",1,0
154,"[29.47572, 5.60416, 239.409]",1,0
155,"[28.8083, 4.001143, 250.5966]",1,0
156,"[28.24123, 2.763378, 262.1346]",1,0
157,"[28.29708, 1.916957, 273.7314]",1,0
158,"[29.53003, 1.470805, 285.4089]",1,0
159,"[31.90575, 1.408608, 296.9717]",1,0
160,"[33.17753, 1.453715, 307.0172]",1,0.9433333333333334
161,"[34.10482, 1.422154, 316.2876]",1,0
162,"[34.39917, 1.405694, 324.8949]",1,0
