0,"[-75.8109130859375, 1.3873836994171143, 27.68186378479004]",0,0.0
1,"[-74.99897766113281, 1.3873541355133057, 22.49553871154785]",0,0.0
2,"[-71.63457489013672, 1.3880541324615479, 8.475897789001465]",0,0.0
3,"[-69.97290802001953, 1.3878626823425293, 0.02909081056714058]",0,0.0
4,"[-68.9830322265625, 1.38792085647583, -8.941841125488281]",0,0.0
5,"[-68.7342300415039, 1.3882189989089966, -17.35648536682129]",0,0.0
6,"[-68.86541748046875, 1.3880643844604492, -24.071765899658203]",0,0.0
7,"[-69.88002014160156, 1.3876385688781738, -30.527585983276367]",0,0.0
8,"[-71.87335968017578, 1.3953652381896973, -38.10896301269531]",0,0.0
9,"[-73.82020568847656, 1.4115619659423828, -44.613311767578125]",0,0.0
10,"[-75.91912841796875, 1.3871972560882568, -50.32776641845703]",0,0.0
11,"[-81.48950958251953, 1.4127274751663208, -60.87267303466797]",0,0.0
12,"[-85.16754150390625, 1.3738635778427124, -66.33990478515625]",0,0.0
13,"[-88.47966766357422, 1.3752542734146118, -71.02027130126953]",0,1.0
14,"[-91.54985809326172, 1.3630439043045044, -75.0470962524414]",0,1.0
15,"[-98.39971923828125, 1.3685249090194702, -83.22486114501953]",1,1.0
16,"[-102.12703704833984, 1.3678200244903564, -87.47505950927734]",1,1.0
17,"[-106.05558013916016, 1.3678278923034668, -91.89171600341797]",1,1.0
18,"[-109.72097778320312, 1.4413001537322998, -95.95050811767578]",1,1.0
19,"[-113.05956268310547, 1.432995319366455, -99.71121978759766]",1,1.0
20,"[-116.70628356933594, 1.378133773803711, -103.70075988769531]",1,1.0
21,"[-120.25807189941406, 1.3916603326797485, -107.6240463256836]",1,1.0
22,"[-123.88328552246094, 1.3883682489395142, -111.84046936035156]",1,1.0
23,"[-128.44017028808594, 1.3874049186706543, -117.27787017822266]",1,1.0
24,"[-133.75027465820312, 1.3875540494918823, -123.7601318359375]",1,1.0
25,"[-139.7373809814453, 1.387662410736084, -131.04493713378906]",1,1.0
26,"[-146.42752075195312, 1.3876477479934692, -138.85299682617188]",1,1.0
27,"[-153.7371063232422, 1.387628197669983, -147.04588317871094]",1,1.0
28,"[-160.60841369628906, 1.3884029388427734, -154.6500244140625]",1,1.0
29,"[-166.2060089111328, 1.3873809576034546, -160.91392517089844]",1,0.0
30,"[-170.6604461669922, 1.4131395816802979, -166.09742736816406]",0,0.0
31,"[-176.40081787109375, 1.3670977354049683, -174.0528106689453]",0,0.0
32,"[-178.04037475585938, 1.36667799949646, -177.66941833496094]",0,0.0
33,"[-178.87083435058594, 1.4369714260101318, -180.7244415283203]",0,0.0
34,"[-178.6875457763672, 1.3240513801574707, -182.33132934570312]",0,0.0
35,"[-178.3858184814453, 1.349450707435608, -184.06765747070312]",0,0.0
36,"[-177.888671875, 1.3787448406219482, -185.6499481201172]",0,0.0
37,"[-177.2257080078125, 1.3647184371948242, -186.62899780273438]",0,0.0
38,"[-176.29005432128906, 1.3669081926345825, -187.9062957763672]",0,0.0
39,"[-174.7505340576172, 1.3680905103683472, -189.983154296875]",0,0.0
40,"[-172.69805908203125, 1.3679622411727905, -192.70005798339844]",0,0.0
41,"[-170.13973999023438, 1.3678652048110962, -195.86465454101562]",0,0.0
42,"[-164.65748596191406, 1.3677430152893066, -201.78411865234375]",0,1.0
43,"[-161.16302490234375, 1.3678624629974365, -204.7531280517578]",0,1.0
44,"[-157.09848022460938, 1.3678820133209229, -207.66036987304688]",0,1.0
45,"[-152.5808563232422, 1.3678748607635498, -210.53744506835938]",0,1.0
46,"[-147.70802307128906, 1.3678725957870483, -213.4185028076172]",0,1.0
47,"[-136.96095275878906, 1.3678147792816162, -218.61343383789062]",0,1.0
48,"[-131.125244140625, 1.3678699731826782, -220.61729431152344]",0,1.0
49,"[-125.05851745605469, 1.3678762912750244, -222.32289123535156]",0,1.0
50,"[-118.80982208251953, 1.3678746223449707, -223.82554626464844]",0,0.0
51,"[-112.41705322265625, 1.3678739070892334, -225.19073486328125]",0,0.0
52,"[-101.50291442871094, 1.3679487705230713, -227.37826538085938]",0,0.0
53,"[-97.42565155029297, 1.3680806159973145, -228.28538513183594]",0,0.0
54,"[-94.14110565185547, 1.368110179901123, -229.14523315429688]",0,0.0
55,"[-91.49951934814453, 1.3681070804595947, -229.94688415527344]",0,0.0
56,"[-88.78524017333984, 1.3678783178329468, -230.92117309570312]",0,0.0
57,"[-85.66064453125, 1.4050757884979248, -232.13568115234375]",0,1.0
58,"[-82.28878021240234, 1.4016938209533691, -233.64918518066406]",0,1.0
59,"[-79.20925903320312, 1.385702133178711, -235.29661560058594]",0,1.0
60,"[-76.89102935791016, 1.3865177631378174, -236.8223876953125]",1,1.0
61,"[-74.3077621459961, 1.387783169746399, -239.14630126953125]",1,1.0
62,"[-71.26570892333984, 1.3882254362106323, -241.9513397216797]",1,1.0
63,"[-67.7817611694336, 1.3876416683197021, -245.0330047607422]",1,1.0
64,"[-63.05257034301758, 1.387642502784729, -249.31898498535156]",1,1.0
65,"[-57.351524353027344, 1.387645959854126, -254.63926696777344]",1,2.0
66,"[-51.78065490722656, 1.415757417678833, -259.9306640625]",1,2.0
67,"[-42.52522277832031, 1.4029924869537354, -268.58135986328125]",1,2.0
68,"[-38.28315353393555, 1.3961617946624756, -272.17523193359375]",1,2.0
69,"[-32.78329849243164, 1.4286493062973022, -275.8202819824219]",1,2.0
70,"[-26.727617263793945, 1.3924813270568848, -278.76123046875]",1,2.0
71,"[-19.9793643951416, 1.3876649141311646, -280.7637939453125]",1,2.0
72,"[-12.571616172790527, 1.387628436088562, -281.1540832519531]",1,2.0
73,"[0.6340361833572388, 1.3873112201690674, -278.1104431152344]",1,2.0
74,"[7.038665771484375, 1.3876056671142578, -273.944091796875]",1,3.0
75,"[13.382769584655762, 1.3876566886901855, -268.19073486328125]",1,2.0
76,"[26.003480911254883, 1.3883064985275269, -253.39353942871094]",1,2.0
77,"[39.23270797729492, 1.3810417652130127, -237.1735076904297]",1,2.0
78,"[44.80827331542969, 1.3652174472808838, -230.69544982910156]",1,2.0
79,"[49.90983581542969, 1.3736107349395752, -225.23744201660156]",1,2.0
80,"[55.23225021362305, 1.3671914339065552, -220.308837890625]",1,2.0
81,"[60.7664909362793, 1.3673874139785767, -215.7411346435547]",1,2.0
82,"[66.33154296875, 1.4367103576660156, -211.54974365234375]",1,2.0
83,"[71.19258880615234, 1.3854035139083862, -207.87596130371094]",1,2.0
84,"[75.85306549072266, 1.3858537673950195, -204.17420959472656]",1,4.0
85,"[81.25584411621094, 1.3857107162475586, -199.5006866455078]",1,4.0
86,"[91.7876968383789, 1.3877925872802734, -189.90245056152344]",1,4.0
87,"[96.98632049560547, 1.3881103992462158, -185.04141235351562]",1,2.0
88,"[101.21532440185547, 1.3880832195281982, -181.04714965820312]",1,1.0
89,"[105.10433197021484, 1.38759446144104, -176.6953125]",1,1.0
90,"[110.73246765136719, 1.3876690864562988, -166.94764709472656]",1,1.0
91,"[111.65206909179688, 1.3876721858978271, -160.4857940673828]",1,1.0
92,"[110.96929931640625, 1.3877311944961548, -153.04684448242188]",1,1.0
93,"[108.69654083251953, 1.3877372741699219, -145.25111389160156]",1,1.0
94,"[104.71009063720703, 1.3876395225524902, -137.4070281982422]",1,6.0
95,"[100.25611114501953, 1.3881011009216309, -130.4136199951172]",1,5.0
96,"[91.97754669189453, 1.3876312971115112, -120.34571075439453]",1,5.0
97,"[81.56769561767578, 1.3873350620269775, -111.79360961914062]",1,5.0
98,"[75.95187377929688, 1.3880720138549805, -107.60505676269531]",1,5.0
99,"[70.16686248779297, 1.3876497745513916, -103.7196044921875]",1,5.0
100,"[63.07810592651367, 1.3876566886901855, -99.49454498291016]",1,5.0
101,"[55.0013313293457, 1.4187361001968384, -95.03572082519531]",1,5.0
102,"[46.740291595458984, 1.4169732332229614, -90.43659973144531]",1,3.0
103,"[39.2216796875, 1.377789855003357, -86.0978775024414]",1,3.0
104,"[32.303367614746094, 1.394421935081482, -81.83151245117188]",1,5.0
105,"[25.07689094543457, 1.3879365921020508, -76.82088470458984]",1,5.0
106,"[12.124372482299805, 1.3780865669250488, -64.50480651855469]",1,5.0
107,"[7.285818576812744, 1.472977876663208, -57.043094635009766]",1,5.0
108,"[7.919739723205566, 1.647386074066162, -52.48823547363281]",1,5.0
109,"[8.220802307128906, 1.7367479801177979, -48.124568939208984]",1,5.0
110,"[8.269299507141113, 1.8936747312545776, -43.71807861328125]",1,5.0
111,"[8.23221492767334, 2.072497844696045, -39.74032211303711]",1,5.0
112,"[8.090182304382324, 2.3762753009796143, -35.694252014160156]",1,5.0
113,"[7.931238174438477, 2.785884380340576, -30.503135681152344]",1,5.0
114,"[8.423672676086426, 3.388152837753296, -24.33330535888672]",1,5.0
