,Position,Arousal,Score
120,"[26.41905, 1.38734, 321.5221]",1,0
121,"[25.87794, 1.387721, 334.7148]",1,0
122,"[24.96684, 1.387658, 348.0348]",1,0
123,"[23.56201, 1.38853, 361.2195]",1,0
124,"[21.34853, 1.387552, 373.74]",1,0
125,"[17.7441, 1.387725, 385.7396]",1,0
126,"[13.08673, 1.388801, 397.1501]",1,0
127,"[8.209818, 1.40117, 408.1863]",1,0
128,"[3.713118, 1.389563, 418.8542]",1,0
129,"[-0.04304223, 1.377253, 428.1345]",1,0
130,"[-3.511105, 1.369157, 436.1066]",1,0
131,"[-7.046498, 1.392702, 442.9876]",1,0
132,"[-10.97068, 1.441581, 448.6649]",1,0
133,"[-15.5932, 1.408874, 452.7406]",1,0
134,"[-21.15916, 1.380091, 455.5965]",1,0.95
135,"[-27.91272, 1.389605, 457.3314]",1,0
136,"[-35.39231, 1.387781, 457.7688]",1,0
137,"[-43.06451, 1.387491, 456.5456]",1,0
138,"[-50.35474, 1.387789, 453.4413]",1,0
139,"[-56.65108, 1.387597, 448.493]",1,0
140,"[-61.4332, 1.387673, 441.8867]",1,0
141,"[-64.47849, 1.387606, 434.0179]",1,0
142,"[-66.19786, 1.387646, 425.1069]",1,0
143,"[-67.15968, 1.387642, 415.2769]",1,0
144,"[-67.63767, 1.387641, 404.6777]",1,0
145,"[-67.7392, 1.387641, 393.4483]",1,0
146,"[-67.53804, 1.387641, 381.7036]",1,0
147,"[-67.09151, 1.387641, 369.5377]",1,0
148,"[-66.44038, 1.387642, 356.9504]",1,0
149,"[-65.50951, 1.384477, 342.2119]",0,0
150,"[-64.25471, 1.41604, 324.6172]",0,0
151,"[-62.17424, 10.98568, 309.8111]",0,0
152,"[-58.6235, 28.95956, 310.7646]",0,0
153,"[-53.47863, 36.57843, 327.5255]",0,0
154,"[-47.30838, 22.42193, 342.4262]",0,0
155,"[-42.0552, 2.466855, 331.3997]",0,0
156,"[-38.01787, 2.342701, 307.7877]",0,0
157,"[-34.78429, 3.071288, 287.4982]",0,0.9633333333333334
158,"[-32.17263, 2.618746, 270.8993]",0,0
159,"[-30.12884, 1.555232, 257.2473]",0,0
160,"[-28.79906, 1.485519, 245.8954]",0,0
161,"[-28.34085, 1.418646, 236.5595]",0,0
162,"[-28.98686, 1.391823, 228.5571]",0,0
163,"[-30.36742, 1.39657, 221.513]",0,0
164,"[-32.3464, 1.401607, 214.0883]",0,0
165,"[-34.68977, 1.40134, 206.4415]",0,0
166,"[-37.46593, 1.396213, 198.5291]",0,0
167,"[-40.66311, 1.38202, 190.404]",0,0
168,"[-44.45438, 1.382247, 181.5547]",0,0
169,"[-48.74183, 1.383466, 172.0284]",0,0
170,"[-53.20197, 1.384366, 162.0507]",0,0
171,"[-57.15381, 1.383289, 151.8784]",0,0
172,"[-60.10771, 1.38355, 141.0666]",0,0
173,"[-61.9693, 1.383445, 129.7046]",0,0
174,"[-62.90637, 1.383423, 117.9]",0,0
175,"[-63.10628, 1.383416, 105.7306]",0,0
176,"[-62.89903, 1.384588, 93.42284]",0,0
177,"[-62.94118, 1.383544, 81.33864]",0,0
178,"[-63.89369, 1.383532, 69.12041]",0,0
179,"[-65.60238, 1.384192, 56.92725]",1,0
180,"[-67.30336, 1.387777, 44.85983]",1,0
181,"[-68.4086, 1.387688, 32.45803]",1,0
182,"[-68.98202, 1.388813, 20.00682]",1,0
183,"[-69.67861, 1.387773, 7.819569]",1,0
184,"[-71.19463, 1.387743, -4.470726]",1,0.9583333333333334
185,"[-73.46437, 1.387645, -16.88396]",1,0
186,"[-76.14178, 1.387619, -29.47614]",1,0
187,"[-78.8588, 1.388527, -42.09883]",1,0
188,"[-81.03045, 1.387348, -54.56588]",1,0
189,"[-82.54222, 1.437277, -66.96321]",1,0
190,"[-83.97424, 1.405674, -78.42107]",1,0
191,"[-86.06772, 1.388226, -88.98233]",1,0
192,"[-89.50117, 1.387949, -98.65318]",1,0
193,"[-94.62454, 1.387386, -107.0007]",1,0
194,"[-101.1864, 1.388811, -114.0957]",1,0
195,"[-108.4847, 1.395967, -120.6031]",1,0
196,"[-115.8299, 1.387889, -126.9094]",1,0
197,"[-122.0862, 1.372384, -132.6689]",1,0
198,"[-127.7174, 1.369156, -138.1842]",1,0
199,"[-133.1774, 1.366627, -143.4743]",1,0
200,"[-138.6496, 1.367705, -148.6003]",1,0
201,"[-143.8766, 1.367959, -153.8274]",1,0
202,"[-148.397, 1.416175, -159.1523]",1,0.9633333333333334
203,"[-151.7348, 1.376618, -164.4592]",1,0
204,"[-153.6019, 1.390803, -170.2537]",1,0
205,"[-153.514, 1.388244, -176.5691]",1,0
206,"[-151.3445, 1.387122, -182.8578]",1,0
207,"[-147.0954, 1.387524, -188.5162]",1,0
208,"[-141.002, 1.387644, -193.2006]",1,0
209,"[-133.4321, 1.387659, -197.2063]",1,0
210,"[-124.7119, 1.387639, -200.9936]",1,0
211,"[-115.0842, 1.38764, -204.7368]",1,0
212,"[-104.7215, 1.387631, -208.4671]",1,0
213,"[-93.98631, 1.388804, -212.2764]",1,0
214,"[-83.50626, 1.387756, -216.5042]",1,0
215,"[-73.27447, 1.387765, -221.8426]",1,0
216,"[-63.40709, 1.387635, -228.3089]",1,0
217,"[-53.98565, 1.438623, -235.5549]",1,0
218,"[-45.87315, 1.392392, -242.2005]",1,0
219,"[-43.73394, 1.523032, -246.7567]",1,0
220,"[-43.6759, 1.348957, -250.069]",1,0
