model,game,frequency,signal,prediction,task,weight,n_runs,score_mean,score_ci,behavior_mean,behavior_ci,arousal_mean,arousal_ci,arousal_return_mean,arousal_return_ci,playerStanding_mean,playerScore_mean,playerSpeed_mean,playerIsGrounded_mean,playerIsMidAir_mean,playerIsLooping_mean,playerIsCrashing_mean,playerIsOffRoad_mean,playerGasPedal_mean,playerSteering_mean,playerLap_mean,playerDistanceToWayPoint_mean,playerRespawn_mean,visibleBotCount_mean,botStanding_mean,botScore_mean,botSpeed_mean,botIsGrounded_mean,botIsLooping_mean,botIsOffRoad_mean,botIsCrashing_mean,botGasPedal_mean,botSteering_mean,botLap_mean,botDistanceToWayPoint_mean,botPlayerDistance_mean,visibleLoopCount_mean,playerStanding_ci,playerScore_ci,playerSpeed_ci,playerIsGrounded_ci,playerIsMidAir_ci,playerIsLooping_ci,playerIsCrashing_ci,playerIsOffRoad_ci,playerGasPedal_ci,playerSteering_ci,playerLap_ci,playerDistanceToWayPoint_ci,playerRespawn_ci,visibleBotCount_ci,botStanding_ci,botScore_ci,botSpeed_ci,botIsGrounded_ci,botIsLooping_ci,botIsOffRoad_ci,botIsCrashing_ci,botGasPedal_ci,botSteering_ci,botLap_ci,botDistanceToWayPoint_ci,botPlayerDistance_ci,visibleLoopCount_ci,scores_raw,arousal_raw,cluster,playerHasCollisions_mean,playerIsCollidingAbove_mean,playerIsCollidingBelow_mean,playerIsCollidingLeft_mean,playerIsCollidingRight_mean,playerIsFalling_mean,playerIsJumping_mean,playerSpeedX_mean,playerSpeedY_mean,playerHealth_mean,playerDamaged_mean,playerPointPickup_mean,playerPowerPickup_mean,playerHasPowerup_mean,playerKillCount_mean,botHasCollisions_mean,botIsCollidingBelow_mean,botIsCollidingLeft_mean,botIsCollidingRight_mean,botIsFalling_mean,botSpeedX_mean,botSpeedY_mean,botHealth_mean,pickUpsVisible_mean,pickUpPlayerDisctance_mean,playerDeath_mean,playerHasCollisions_ci,playerIsCollidingAbove_ci,playerIsCollidingBelow_ci,playerIsCollidingLeft_ci,playerIsCollidingRight_ci,playerIsFalling_ci,playerIsJumping_ci,playerSpeedX_ci,playerSpeedY_ci,playerHealth_ci,playerDamaged_ci,playerPointPickup_ci,playerPowerPickup_ci,playerHasPowerup_ci,playerKillCount_ci,botHasCollisions_ci,botIsCollidingBelow_ci,botIsCollidingLeft_ci,botIsCollidingRight_ci,botIsFalling_ci,botSpeedX_ci,botSpeedY_ci,botHealth_ci,pickUpsVisible_ci,pickUpPlayerDisctance_ci,playerDeath_ci,playerSpeedZ_mean,playerHealing_mean,playerShooting_mean,playerReloading_mean,playerProjectileCount_mean,playerProjectileDistance_mean,playerCrouching_mean,playerSprinting_mean,playerAimAtEnemy_mean,botSpeedZ_mean,botDamaged_mean,botShooting_mean,botProjectileCount_mean,botProjectilePlayerDistance_mean,botAimAtPlayer_mean,playerTriesShootOnReload_mean,playerSpeedZ_ci,playerHealing_ci,playerShooting_ci,playerReloading_ci,playerProjectileCount_ci,playerProjectileDistance_ci,playerCrouching_ci,playerSprinting_ci,playerAimAtEnemy_ci,botSpeedZ_ci,botDamaged_ci,botShooting_ci,botProjectileCount_ci,botProjectilePlayerDistance_ci,botAimAtPlayer_ci,playerTriesShootOnReload_ci
PPO,solid,Asynchronized,Ordinal,Classification,Minimize,1.0,10,0.025,0.032,1.4,1.8222,0.8125,0.1502,0.8125,0.1502,3.96524953842163,0.718383312225342,8.5503044128418,0.998883366584778,0.0011166667100042,0.0026333332061767,0.0,0.416299998760223,-0.0188333354890347,-0.647745013237,0.0,185.043914794922,0.0,0.516066670417786,0.619607269763947,2.47423887252808,11.0068502426147,0.268846958875656,0.0017839579377323,0.0114616472274065,0.0,0.172452002763748,-0.0016540217911824,0.203353807330132,34.005256652832,29.779483795166,0.813883304595947,0.0568,0.9462,2.8552,0.0017,0.0017,0.006,0.0,0.1583,0.2352,0.301,0.0,47.0695,0.0,0.039,0.1746,0.241,0.7409,0.0406,0.0011,0.0078,0.0,0.0224,0.0237,0.0277,2.6135,6.4057,0.2089,"[0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.041666666666666664, 0.0, 0.08333333333333333, 0.0]","[0.875, 0.825, 0.5, 0.8, 0.375, 0.875, 0.95, 0.95, 1.0, 0.975]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,solid,Synchronized,Ordinal,Classification,Maximize,0.0,10,0.2792,0.1967,6.9,4.5799,0.2042,0.184,0.5394,0.2012,3.6194167137146,4.50609970092773,19.7510604858398,0.994602859020233,0.0053970590233802,0.0144519601017237,0.0,0.570478439331055,0.356127440929413,-0.186055034399033,0.0971764773130417,162.92366027832,0.0,0.344754874706268,0.425976186990738,1.00799751281738,7.04896402359009,0.187759965658188,0.0025499477051198,0.0030408999882638,0.0,0.114319682121277,-0.021264748647809,0.0701504722237587,20.6832599639893,12.7286548614502,0.706501841545105,0.654,2.0796,8.7293,0.0052,0.0052,0.0154,0.0,0.1536,0.4361,0.3301,0.2198,40.6072,0.0,0.0688,0.0697,0.4285,1.4338,0.0288,0.0015,0.0031,0.0,0.019,0.0144,0.0375,4.1022,5.0307,0.1085,"[0.0, 0.25, 0.25, 0.25, 0.0, 0.25, 0.25, 0.25, 0.2916666666666667, 1.0]","[0.041666666666666664, 0.16666666666666666, 0.16666666666666666, 0.125, 0.0, 0.125, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.9166666666666666]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,solid,Synchronized,Ordinal,Classification,Maximize,0.5,9,0.5324,0.3915,14.5556,8.6549,0.4907,0.3285,0.5036,0.2925,2.48899555206299,7.18206024169922,33.3424491882324,0.98919814825058,0.0108018536120653,0.025822663679719,0.0,0.366808891296387,0.259868264198303,-0.38879582285881,0.614479720592499,165.374313354492,0.0,0.591513991355896,0.761743366718292,2.126873254776,12.801194190979,0.304184347391129,0.0041973805055022,0.0085852034389972,0.0,0.19320073723793,-0.0161046460270882,0.144814550876617,38.4485626220703,29.6731433868408,0.697807371616364,1.1173,4.1911,13.4708,0.0064,0.0064,0.0156,0.0,0.1646,0.7333,0.3525,0.3575,53.8368,0.0,0.2522,0.3598,1.4639,5.3391,0.1394,0.0058,0.0044,0.0,0.0862,0.0283,0.124,15.7527,9.2378,0.1785,"[0.0, 0.0, 0.0, 0.0, 0.7916666666666666, 1.0, 1.0, 1.0, 1.0]","[0.2916666666666667, 0.0, 0.0, 0.0, 0.5, 0.8333333333333334, 0.9583333333333334, 0.9166666666666666, 0.9166666666666666]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,solid,Synchronized,Ordinal,Classification,Maximize,1.0,8,0.3125,0.2885,7.5,6.9229,0.2552,0.2424,0.6312,0.2437,3.71231269836426,3.93110418319702,22.6577014923096,0.995416641235352,0.0045833336189389,0.0088125001639127,0.0,0.499833315610886,0.415000021457672,-0.0135679170489311,0.236833319067955,168.581130981445,0.0,0.475979149341583,0.57739919424057,2.20397162437439,10.6586408615112,0.267979621887207,0.0025216657668352,0.0067704711109399,0.0,0.167662233114243,-0.0177589412778616,0.174936518073082,33.1867256164551,25.3117294311523,0.687979102134705,0.4509,3.457,9.4709,0.0047,0.0047,0.0109,0.0,0.0965,0.5647,0.4984,0.2812,73.4648,0.0,0.1446,0.2384,1.3975,4.6248,0.1296,0.003,0.0045,0.0,0.081,0.0288,0.1259,17.6602,11.8536,0.1861,"[0.0, 0.7083333333333334, 0.25, 0.0, 0.0, 0.8333333333333334, 0.5833333333333334, 0.125]","[0.0, 0.5416666666666666, 0.16666666666666666, 0.0, 0.0, 0.75, 0.4583333333333333, 0.125]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,solid,Asynchronized,Ordinal,Classification,Maximize,0.0,10,0.3167,0.1773,7.7,3.9044,0.595,0.175,0.5997,0.175,3.60576367378235,4.82901477813721,20.8471145629883,0.995639622211456,0.0043603600934147,0.0372635163366795,0.0,0.48794236779213,0.461882919073105,0.0330368131399155,0.110567793250084,142.099105834961,0.0,0.466200679540634,0.629817843437195,1.37713265419006,9.90207004547119,0.262163579463959,0.001625471166335,0.0044522611424326,0.0,0.161949723958969,-0.0352729894220829,0.0881060808897018,30.2593727111816,16.9927806854248,0.644628882408142,0.4906,1.7148,7.9198,0.0041,0.0041,0.0311,0.0,0.1508,0.3408,0.2835,0.2084,20.1719,0.0,0.1212,0.151,0.3406,2.2212,0.0554,0.0013,0.0053,0.0,0.0353,0.0098,0.0543,7.6662,4.0283,0.1028,"[0.08333333333333333, 0.25, 0.25, 0.25, 0.25, 0.25, 0.3333333333333333, 0.25, 0.25, 1.0]","[0.85, 0.725, 0.425, 0.175, 0.25, 0.6, 0.675, 0.775, 0.9, 0.575]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,solid,Asynchronized,Ordinal,Classification,Maximize,0.5,10,0.1625,0.2298,3.8,5.3617,0.7325,0.2873,0.7325,0.2873,3.81933355331421,1.9580500125885,15.4658861160278,0.996383309364319,0.0036166668869555,0.0067999996244907,0.0,0.554433345794678,0.24383333325386,0.285364627838135,0.159299999475479,203.769683837891,0.0,0.520383358001709,0.615639567375183,2.49053573608398,11.7084197998047,0.269785374403,0.0013982559321448,0.0067229741252958,0.0,0.172931209206581,0.0012454023817554,0.191857099533081,35.057071685791,29.2052192687988,0.851499915122986,0.3497,2.7993,10.2783,0.0041,0.0041,0.0102,0.0,0.2075,0.5515,0.5812,0.2404,61.5609,0.0,0.1919,0.2994,0.6519,3.792,0.1052,0.0011,0.003,0.0,0.0653,0.0296,0.0498,12.3245,6.4958,0.1424,"[0.7916666666666666, 0.0, 0.0, 0.0, 0.75, 0.0, 0.041666666666666664, 0.041666666666666664, 0.0, 0.0]","[0.675, 0.025, 1.0, 0.025, 0.6, 1.0, 1.0, 1.0, 1.0, 1.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,solid,Asynchronized,Ordinal,Classification,Maximize,1.0,10,0.1083,0.1711,2.6,4.1053,0.7075,0.2759,0.7075,0.2759,3.96791696548462,1.24606657028198,10.5244302749634,0.998716652393341,0.0012833334039896,0.0026166667230427,0.0,0.744983315467835,0.0436666533350945,0.178191989660263,0.0686333328485489,187.38508605957,0.0,0.435566663742065,0.463136196136475,2.08228802680969,9.66335868835449,0.215444952249527,0.0013812008546665,0.0065651983022689,0.0,0.13792160153389,0.0098656443879008,0.165298193693161,28.851734161377,27.5772361755371,0.858650028705597,0.0361,1.9936,8.1273,0.0029,0.0029,0.0059,0.0,0.1563,0.5578,0.5656,0.1553,38.946,0.0,0.0388,0.052,0.2296,1.1402,0.0167,0.0013,0.0044,0.0,0.012,0.0189,0.0244,4.1651,4.5585,0.1632,"[0.0, 0.75, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.0]","[0.025, 0.725, 0.675, 0.6, 0.05, 1.0, 1.0, 1.0, 1.0, 1.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,solid,Synchronized,Ordinal,Classification,Minimize,0.5,8,0.3646,0.4031,11.75,9.6544,0.1667,0.1501,0.5071,0.2751,2.99967694282532,5.39309930801392,27.7204055786133,0.993367493152618,0.0066324789077043,0.0196677353233099,0.0,0.455094546079636,0.412831217050552,-0.25726392865181,0.437966346740723,159.892730712891,0.0,0.753303408622742,0.947724342346191,3.59068632125855,16.1721515655518,0.408211588859558,0.0033117283601313,0.0118700433522463,0.0,0.251656740903854,-0.0311786569654942,0.294836968183517,51.3943367004395,35.0740470886231,0.666072130203247,0.9592,4.5194,15.9824,0.0063,0.0063,0.0196,0.0,0.2362,0.6795,0.5205,0.3923,45.2944,0.0,0.3577,0.5018,2.0482,7.5433,0.2007,0.0029,0.0051,0.0,0.123,0.0371,0.1878,24.5394,11.4082,0.1748,"[0.0, 0.08333333333333333, 0.0, 0.0, 0.875, 0.0, 0.9583333333333334, 1.0]","[0.0, 0.08333333333333333, 0.0, 0.0, 0.25, 0.5, 0.2916666666666667, 0.20833333333333334]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,solid,Synchronized,Ordinal,Classification,Minimize,1.0,8,0.2448,0.167,5.625,4.1426,0.1979,0.1326,0.7125,0.2425,3.839271068573,3.4930624961853,15.192629814148,0.997729182243347,0.0022708335891366,0.0027499999850988,0.0,0.541166663169861,-0.0837499797344208,-0.369846254587173,0.144500002264977,155.741729736328,0.0,0.503645777702332,0.569670081138611,2.00149297714233,10.4543399810791,0.257019966840744,0.0014613003004342,0.0031772288493812,0.0,0.164233937859535,-0.0112893935292959,0.146168097853661,33.0024375915527,21.9952430725098,0.582604169845581,0.2741,2.6062,8.3727,0.0039,0.0039,0.0043,0.0,0.2419,0.5162,0.3635,0.224,30.4679,0.0,0.2273,0.3079,0.6345,4.6928,0.1169,0.0015,0.0035,0.0,0.0747,0.0224,0.053,16.3214,6.2968,0.2415,"[0.0, 0.25, 0.16666666666666666, 0.0, 0.25, 0.5416666666666666, 0.5, 0.25]","[0.0, 0.25, 0.08333333333333333, 0.0, 0.25, 0.375, 0.4166666666666667, 0.20833333333333334]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,solid,Asynchronized,Ordinal,Classification,Minimize,0.5,10,0.0708,0.1602,2.1,4.7505,0.8225,0.2379,0.8225,0.2379,3.9285831451416,0.908549964427948,12.1432027816772,0.996783375740051,0.0032166666351258,0.0070000002160668,0.0,0.64098334312439,-0.512499988079071,-0.700376629829407,0.0733666718006134,191.413330078125,0.0,0.544783294200897,0.614984929561615,2.44888687133789,12.2525053024292,0.271464914083481,0.005291115026921,0.0081097092479467,0.0,0.17573718726635,0.0004808125959243,0.186883270740509,35.5784530639648,30.6701908111572,0.963216602802277,0.1244,2.0553,6.4398,0.0072,0.0072,0.0158,0.0,0.1196,0.5437,0.4636,0.166,52.7941,0.0,0.1635,0.2745,0.5113,3.653,0.0927,0.0055,0.0045,0.0,0.0564,0.0234,0.0292,11.1067,6.0921,0.0813,"[0.0, 0.0, 0.0, 0.0, 0.7083333333333334, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.975, 0.975, 0.975, 0.45, 0.975, 0.975, 0.95, 0.95, 1.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,solid,Asynchronized,Ordinal,Classification,Minimize,1.0,10,0.0625,0.076,1.3,1.786,0.8375,0.1932,0.8375,0.1932,3.986416578292847,0.7130500078201294,12.278959274291992,0.9990666508674622,0.000933333300054,0.0,0.0,0.5953667163848877,-0.559499979019165,-0.6762783527374268,0.0,169.1706085205078,0.0,0.459433376789093,0.4847066402435303,2.068734645843506,9.768173217773438,0.225399374961853,0.0030533529352396,0.0067547024227678,0.0,0.143905222415924,-0.0070568872615695,0.1753567457199096,28.15083694458008,28.60542297363281,0.7750500440597534,0.0103,0.8609,3.6389,0.0021,0.0021,0.0,0.0,0.1289,0.4253,0.3047,0.0,51.2095,0.0,0.0703,0.0709,0.3323,1.8407,0.0263,0.0014,0.0051,0.0,0.0184,0.0144,0.0268,3.5754,8.2166,0.2176,"[0.0, 0.25, 0.125, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.825, 0.85, 0.8, 0.875, 0.975, 1.0, 0.975, 0.975, 1.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Explore,solid,Synchronized,Ordinal,Classification,Maximize,0.0,10,0.8917,0.1063,22.4,0.9657,0.7875,0.0635,0.647,0.0523,3.815387725830078,7.491042613983154,26.788389205932617,0.9801026582717896,0.0198976695537567,0.0325201526284217,0.0,0.385109543800354,0.6605533957481384,-0.0921555235981941,0.5388016104698181,165.89547729492188,0.0,0.6758167147636414,1.104128122329712,2.832383155822754,16.427003860473633,0.4218902885913849,0.0040331287309527,0.0096163265407085,0.0,0.2618682384490967,-0.037358246743679,0.2249040305614471,46.71343994140625,29.02047348022461,0.6062325239181519,1.4778,3.9503,31.5203,0.1026,0.1026,0.1857,0.0,0.7769,0.1235,0.0635,0.507,69.0598,0.0,4.0062,7.732,28.535,106.7831,2.7249,0.0317,0.0109,0.0,1.7461,0.2745,2.3841,309.0431,208.3182,0.825,"[1.0, 0.9583333333333334, 0.8333333333333334, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 1.0416666666666667, 0.5]","[0.7916666666666666, 0.8333333333333334, 0.625, 0.75, 0.875, 0.75, 0.75, 0.7916666666666666, 0.75, 0.9583333333333334]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Explore,solid,Synchronized,Ordinal,Classification,Maximize,0.5,10,0.9083,0.0417,21.8,1.0004,0.8542,0.0427,0.6692,0.0543,3.80348539352417,6.82819128036499,23.971338272094727,0.991247832775116,0.0087520601227879,0.0217017140239477,0.0,0.4666425585746765,0.6713243126869202,-0.1084279790520668,0.5031224489212036,165.78863525390625,0.0,0.5808632969856262,0.8465644717216492,1.5523827075958252,12.914079666137695,0.3510102927684784,0.002993221161887,0.0064167752861976,0.0,0.2082798928022384,-0.0263161845505237,0.1036755293607711,40.18834686279297,24.25967025756836,0.5626751780509949,0.1053,1.1315,1.5006,0.0039,0.0039,0.013,0.0,0.0837,0.0201,0.0129,0.1354,19.1348,0.0,0.2162,0.3924,1.1306,5.6081,0.1441,0.0021,0.0053,0.0,0.089,0.015,0.0879,19.4726,12.8832,0.0587,"[0.8333333333333334, 0.9583333333333334, 0.9166666666666666, 0.875, 0.9583333333333334, 1.0, 0.875, 0.8333333333333334, 0.9583333333333334, 0.875]","[0.7916666666666666, 0.875, 0.875, 0.8333333333333334, 0.9166666666666666, 0.9583333333333334, 0.8333333333333334, 0.75, 0.875, 0.8333333333333334]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Explore,solid,Synchronized,Ordinal,Classification,Maximize,1.0,10,0.9292,0.0399,22.3,0.9568,0.925,0.0392,0.7001,0.0503,3.786850690841675,7.374490261077881,24.598604202270508,0.9914262890815736,0.008573773317039,0.0173661559820175,0.0,0.4714138805866241,0.6671703457832336,-0.0838191732764244,0.5444011092185974,174.0975341796875,0.0,0.6135141849517822,0.7326517105102539,1.5329235792160034,12.218032836914062,0.3220731914043426,0.0032923035323619,0.003117793938145,0.0,0.1963386982679367,-0.0214591864496469,0.1049896255135536,38.9999885559082,21.61445426940918,0.5450047254562378,0.1591,0.5844,2.4478,0.003,0.003,0.0156,0.0,0.0503,0.0441,0.025,0.1236,64.4081,0.0,0.69,0.8362,2.3567,13.1211,0.3553,0.0035,0.0038,0.0,0.2173,0.0459,0.1533,47.8693,31.9487,0.1225,"[0.8333333333333334, 1.0, 0.875, 0.9583333333333334, 0.9583333333333334, 1.0, 0.9583333333333334, 0.9166666666666666, 0.9166666666666666, 0.875]","[0.8333333333333334, 1.0, 0.875, 0.9166666666666666, 0.9583333333333334, 1.0, 0.9583333333333334, 0.9166666666666666, 0.9166666666666666, 0.875]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Explore,solid,Asynchronized,Ordinal,Classification,Maximize,0.0,6,0.8472,0.1869,22.0,1.3274,0.475,0.0723,0.6338,0.0925,3.815387725830078,7.491042613983154,26.788389205932617,0.9801026582717896,0.0198976695537567,0.0325201526284217,0.0,0.385109543800354,0.6605533957481384,-0.0921555235981941,0.5388016104698181,165.89547729492188,0.0,0.6758167147636414,1.104128122329712,2.832383155822754,16.427003860473633,0.4218902885913849,0.0040331287309527,0.0096163265407085,0.0,0.2618682384490967,-0.037358246743679,0.2249040305614471,46.71343994140625,29.02047348022461,0.6062325239181519,1.4778,3.9503,31.5203,0.1026,0.1026,0.1857,0.0,0.7769,0.1235,0.0635,0.507,69.0598,0.0,4.0062,7.732,28.535,106.7831,2.7249,0.0317,0.0109,0.0,1.7461,0.2745,2.3841,309.0431,208.3182,0.825,"[1.0, 0.8333333333333334, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.5]","[0.475, 0.375, 0.45, 0.525, 0.45, 0.575]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Explore,solid,Asynchronized,Ordinal,Classification,Maximize,0.5,10,0.3792,0.0883,13.1,3.0247,0.83,0.0452,0.8513,0.0464,3.833709716796875,4.050600051879883,23.766277313232425,0.9945412874221802,0.0054586897604167,0.0200455840677022,0.0,0.4944729804992676,0.6486610174179077,-0.070593774318695,0.251111090183258,150.7549285888672,0.0,0.6250140070915222,0.8552641272544861,1.838714599609375,12.696934700012209,0.3529343605041504,0.0,0.0123294293880462,0.0,0.2187177985906601,-0.0508925914764404,0.1202279105782508,35.33147430419922,22.679243087768555,0.5860393047332764,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.4166666666666667, 0.5, 0.25, 0.2916666666666667, 0.25, 0.25, 0.2916666666666667, 0.5, 0.5416666666666666, 0.5]","[0.825, 0.775, 0.85, 0.825, 0.9, 0.925, 0.8, 0.85, 0.7, 0.85]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Explore,solid,Asynchronized,Ordinal,Classification,Maximize,1.0,10,0.1,0.081,2.6,2.0842,0.965,0.0092,0.9897,0.0095,3.939335584640503,2.5785419940948486,14.204455375671388,0.987445592880249,0.0125546045601367,0.0259980987757444,0.0,0.7290945053100586,0.6241214275360107,-0.0554475076496601,0.1217929720878601,161.63392639160156,0.0,0.518408477306366,0.6949678063392639,1.489657998085022,11.109138488769531,0.296016126871109,0.0019563648384064,0.0127957863733172,0.0,0.1703986376523971,-0.058516189455986,0.128731682896614,28.428611755371094,25.1268367767334,0.6756393313407898,0.096,2.9448,10.7433,0.0417,0.0417,0.0829,0.0,0.1939,0.0533,0.0659,0.3052,86.3017,0.0,0.4031,0.5088,2.5278,9.3673,0.2226,0.0042,0.0382,0.0,0.1383,0.0781,0.2127,23.7386,27.7861,0.3228,"[0.0, 0.041666666666666664, 0.08333333333333333, 0.20833333333333334, 0.041666666666666664, 0.375, 0.125, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664]","[0.95, 0.95, 0.975, 0.975, 0.95, 0.975, 0.975, 0.975, 0.975, 0.95]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Explore,solid,Synchronized,Ordinal,Classification,Minimize,0.5,10,0.8208,0.0201,19.7,0.4828,0.7,0.0308,0.3756,0.0496,3.848230361938477,5.985305309295654,24.968067169189453,0.9896692037582396,0.0103308260440826,0.0320937111973762,0.0,0.4519501328468323,0.6595369577407837,-0.0894620791077613,0.4033655524253845,161.29684448242188,0.0,0.4834182858467102,0.6070628762245178,0.5251433253288269,9.537757873535156,0.2590354084968567,0.002136880531907,0.0022803742904216,0.0,0.1520184427499771,-0.0279804971069097,0.026451289653778,26.388172149658203,15.341970443725586,0.5625726580619812,0.1001,0.2156,2.6448,0.0055,0.0055,0.0271,0.0,0.0595,0.0209,0.0267,0.0307,34.482,0.0,0.0516,0.1236,0.2608,1.5066,0.0404,0.0021,0.0024,0.0,0.0215,0.0189,0.0254,3.6967,2.8449,0.0492,"[0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.7916666666666666, 0.8333333333333334, 0.8333333333333334, 0.75, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334]","[0.6666666666666666, 0.7916666666666666, 0.7083333333333334, 0.7083333333333334, 0.6666666666666666, 0.7083333333333334, 0.6666666666666666, 0.6666666666666666, 0.75, 0.6666666666666666]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Explore,solid,Synchronized,Ordinal,Classification,Minimize,1.0,10,0.7958,0.0432,19.1,1.0367,0.7792,0.0399,0.3308,0.0548,3.785421848297119,5.838543891906738,22.8541202545166,0.9891125559806824,0.0108874319121241,0.0321503728628158,0.0,0.4793882369995117,0.6579166650772095,-0.0944820567965507,0.3934289813041687,158.4181671142578,0.0,0.5341459512710571,0.6672326326370239,1.1631678342819214,10.86472511291504,0.2905990481376648,0.0015016513643786,0.0072987675666809,0.0,0.1736654043197631,-0.0332651920616626,0.082081988453865,34.03929138183594,21.46737670898437,0.5711339712142944,0.3391,1.1078,2.3193,0.0044,0.0044,0.0113,0.0,0.031,0.0208,0.0105,0.1317,15.3517,0.0,0.0818,0.1076,0.6171,2.2307,0.0477,0.0013,0.0073,0.0,0.0321,0.0237,0.059,7.8811,6.1831,0.0679,"[0.75, 0.75, 0.875, 0.7083333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.7083333333333334, 0.8333333333333334, 0.8333333333333334]","[0.75, 0.75, 0.875, 0.7083333333333334, 0.75, 0.8333333333333334, 0.8333333333333334, 0.7083333333333334, 0.7916666666666666, 0.7916666666666666]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
