Cluster,Final Position (Original),Off Road (Original),Speed (Original),Dist. to Cars (Original),Arousal (Original),Lap Time (Original),Final Position (PPO),Off Road (PPO),Speed (PPO),Dist. to Cars (PPO),Arousal (PPO),Lap Time (PPO),Final Position (DQN),Off Road (DQN),Speed (DQN),Dist. to Cars (DQN),Arousal (DQN),Lap Time (DQN),Final Position (Go-Explore),Off Road (Go-Explore),Speed (Go-Explore),Dist. to Cars (Go-Explore),Arousal (Go-Explore),Lap Time (Go-Explore)
Experts,1.000 ± 0.000,0.098 ± 0.016,45.052 ± 0.828,27.792 ± 3.349,20.332 ± 10.344,45.052 ± 0.828,4.000 ± 0.000,0.703 ± 0.197,15.300 ± 3.802,14.354 ± 2.601,0.287 ± 0.148,nan ± nan,4.000 ± 0.000,0.847 ± 0.082,16.871 ± 2.154,21.789 ± 12.154,0.133 ± 0.024,nan ± nan,3.877 ± 0.301,0.486 ± 0.028,24.134 ± 1.071,22.602 ± 7.185,0.263 ± 0.052,57.000 ± 9.704
Advanced,2.422 ± 0.494,0.150 ± 0.023,49.671 ± 1.931,31.875 ± 4.384,100.639 ± 49.895,49.671 ± 1.931,4.000 ± 0.000,0.935 ± 0.138,9.119 ± 4.001,21.401 ± 7.649,0.365 ± 0.200,nan ± nan,4.000 ± 0.000,0.855 ± 0.160,9.211 ± 2.793,15.159 ± 5.237,0.357 ± 0.145,nan ± nan,3.429 ± 1.049,0.492 ± 0.029,24.381 ± 1.014,18.418 ± 4.797,0.697 ± 0.036,46.839 ± 12.992
Beginners,3.877 ± 0.152,0.239 ± 0.051,87.273 ± 8.085,12.438 ± 4.212,50.286 ± 37.937,87.273 ± 8.085,4.000 ± 0.000,0.680 ± 0.315,4.326 ± 1.560,21.444 ± 7.924,0.588 ± 0.236,nan ± nan,4.000 ± 0.000,0.833 ± 0.106,12.852 ± 3.511,13.562 ± 6.251,0.455 ± 0.117,nan ± nan,3.833 ± 0.428,0.506 ± 0.039,23.813 ± 2.098,27.479 ± 5.801,0.623 ± 0.130,68.792 ± 13.222
Intermediates,3.812 ± 0.213,0.196 ± 0.026,57.532 ± 2.753,27.164 ± 5.058,35.895 ± 40.804,57.532 ± 2.753,4.000 ± 0.000,0.861 ± 0.104,18.695 ± 7.044,22.746 ± 9.757,0.242 ± 0.103,nan ± nan,4.000 ± 0.000,0.630 ± 0.211,17.861 ± 5.154,19.953 ± 7.602,0.338 ± 0.159,nan ± nan,3.333 ± 0.542,0.463 ± 0.082,25.400 ± 2.785,17.469 ± 4.406,0.275 ± 0.054,51.417 ± 8.143
