model,signal,prediction,task,weight,n_runs,score_mean,score_ci,behavior_mean,behavior_ci,arousal_mean,arousal_ci,arousal_return_mean,arousal_return_ci,final_position_mean,final_position_ci,off_road_mean,off_road_ci,speed_mean,speed_ci,distance_to_cars_mean,distance_to_cars_ci,gas_pedal_mean,gas_pedal_ci,steering_mean,steering_ci,scores_raw,arousal_raw,frequency,cluster,game,lap_time_mean,lap_time_ci
DQN,Ordinal,Classification,Imitate,0.0,10,9.9,1.8912,0.7416,0.1276,0.3182,0.0981,0.4475,0.124,4.0,0.0,0.745,0.1467,21.8164,3.8526,33.3616,7.2209,[0.1125 0.4175 0.495 ],[0.0928 0.1251 0.1297],[0.115  0.8375 0.0725],[0.1251 0.137  0.0775],"[4.0, 12.0, 11.0, 11.0, 11.0, 6.0, 11.0, 11.0, 11.0, 11.0]","[0.0, 0.2727272727272727, 0.2727272727272727, 0.36363636363636365, 0.45454545454545453, 0.36363636363636365, 0.2727272727272727, 0.45454545454545453, 0.45454545454545453, 0.2727272727272727]",Synchronized,3,Solid,,
DQN,Ordinal,Classification,Imitate,0.0,10,13.0,4.0607,0.7377,0.2324,0.3353,0.1123,0.205,0.0607,4.0,0.0,0.655,0.1673,26.7766,7.0254,27.602,6.7023,[0.1175 0.385  0.5225],[0.1284 0.1141 0.2059],[0.005 0.885 0.135],[0.0075 0.0889 0.0893],"[16.0, 6.0, 0.0, 14.0, 15.0, 17.0, 17.0, 17.0, 16.0, 12.0]","[0.4117647058823529, 0.11764705882352941, 0.0, 0.35294117647058826, 0.35294117647058826, 0.4117647058823529, 0.5294117647058824, 0.35294117647058826, 0.4117647058823529, 0.4117647058823529]",Synchronized,4,Solid,,
DQN,Ordinal,Classification,Imitate,0.5,9,15.6667,5.0551,0.6511,0.2085,0.3485,0.1172,0.2917,0.0461,3.3333,1.0169,0.7056,0.0567,32.0539,9.2962,44.2363,8.6394,[0.01944444 0.41666667 0.58888889],[0.033  0.1971 0.1917],[0.08055556 0.92222222 0.02222222],[0.1128 0.1139 0.0512],"[12.0, 20.0, 19.0, 21.0, 17.0, 20.0, 0.0, 14.0, 18.0]","[0.22727272727272727, 0.4090909090909091, 0.45454545454545453, 0.45454545454545453, 0.36363636363636365, 0.45454545454545453, 0.0, 0.3181818181818182, 0.45454545454545453]",Synchronized,1,Solid,,
DQN,Ordinal,Classification,Imitate,0.5,10,7.1,5.5662,0.3261,0.2633,0.155,0.1465,0.53,0.1608,4.0,0.0,0.8125,0.224,16.4397,9.4938,28.8834,9.1936,[0.1625 0.545  0.3175],[0.2297 0.2698 0.2626],[0.16  0.79  0.075],[0.2199 0.2151 0.0625],"[12.0, 20.0, 0.0, 0.0, 19.0, 11.0, 3.0, 2.0, 1.0, 3.0]","[0.1, 0.55, 0.0, 0.0, 0.5, 0.2, 0.05, 0.0, 0.05, 0.1]",Synchronized,2,Solid,,
DQN,Ordinal,Classification,Imitate,0.5,10,6.9,2.2229,0.5624,0.1613,0.2818,0.1664,0.5425,0.1532,4.0,0.0,0.7475,0.2088,15.8325,4.5984,28.037,9.7362,[0.1975 0.4525 0.375 ],[0.1945 0.1829 0.1548],[0.105 0.795 0.125],[0.1645 0.208  0.1352],"[6.0, 2.0, 8.0, 6.0, 10.0, 4.0, 4.0, 11.0, 7.0, 11.0]","[0.09090909090909091, 0.0, 0.36363636363636365, 0.2727272727272727, 0.5454545454545454, 0.0, 0.18181818181818182, 0.5454545454545454, 0.18181818181818182, 0.6363636363636364]",Synchronized,3,Solid,,
DQN,Ordinal,Classification,Imitate,0.5,10,14.4,1.4386,0.8227,0.0878,0.4,0.0478,0.2,0.0559,4.0,0.0,0.695,0.0899,29.5984,2.4359,37.63,8.4851,[0.0775 0.455  0.4925],[0.0784 0.0694 0.054 ],[0.0925 0.825  0.1075],[0.0759 0.0578 0.0888],"[13.0, 14.0, 14.0, 17.0, 10.0, 16.0, 14.0, 16.0, 14.0, 16.0]","[0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.4117647058823529, 0.29411764705882354, 0.4117647058823529, 0.4117647058823529, 0.47058823529411764, 0.4117647058823529, 0.5294117647058824]",Synchronized,4,Solid,,
DQN,Ordinal,Classification,Imitate,1.0,9,6.8889,0.8102,0.2923,0.0378,0.2879,0.0303,0.1333,0.0235,4.0,0.0,0.8472,0.0823,16.871,2.1541,21.7886,12.1539,[0.16944444 0.56666667 0.28888889],[0.1779 0.1345 0.11  ],[0.05277778 0.78055556 0.19166667],[0.0878 0.1655 0.1444],"[8.0, 6.0, 6.0, 8.0, 8.0, 6.0, 8.0, 6.0, 6.0]","[0.2727272727272727, 0.2727272727272727, 0.2727272727272727, 0.3181818181818182, 0.36363636363636365, 0.2727272727272727, 0.3181818181818182, 0.22727272727272727, 0.2727272727272727]",Synchronized,1,Solid,,
DQN,Ordinal,Classification,Imitate,1.0,10,2.9,1.2819,0.1155,0.0539,0.09,0.0554,0.3575,0.1453,4.0,0.0,0.855,0.1597,9.2108,2.7926,15.1588,5.2373,[0.0775 0.645  0.3025],[0.131  0.2315 0.2479],[0.01  0.71  0.305],[0.0125 0.1421 0.143 ],"[4.0, 4.0, 6.0, 2.0, 4.0, 4.0, 1.0, 2.0, 2.0, 0.0]","[0.2, 0.1, 0.15, 0.05, 0.2, 0.1, 0.0, 0.0, 0.1, 0.0]",Synchronized,2,Solid,,
DQN,Ordinal,Classification,Imitate,1.0,10,4.8,1.5005,0.3865,0.1223,0.2455,0.0922,0.455,0.1171,4.0,0.0,0.8325,0.106,12.8518,3.5113,13.5615,6.251,[0.0875 0.7    0.2375],[0.0913 0.1267 0.1429],[0.0475 0.7175 0.26  ],[0.0718 0.193  0.2001],"[0.0, 6.0, 3.0, 6.0, 6.0, 6.0, 3.0, 6.0, 6.0, 6.0]","[0.0, 0.45454545454545453, 0.18181818181818182, 0.36363636363636365, 0.2727272727272727, 0.2727272727272727, 0.18181818181818182, 0.18181818181818182, 0.36363636363636365, 0.18181818181818182]",Synchronized,3,Solid,,
DQN,Ordinal,Classification,Imitate,1.0,10,6.9,2.2229,0.3744,0.1209,0.3471,0.1323,0.3375,0.1591,4.0,0.0,0.63,0.2107,17.8607,5.1537,19.9526,7.6023,[0.1075 0.61   0.3075],[0.1046 0.149  0.1128],[0.1175 0.8    0.1075],[0.1408 0.1499 0.1279],"[0.0, 4.0, 9.0, 9.0, 5.0, 9.0, 9.0, 9.0, 9.0, 6.0]","[0.0, 0.11764705882352941, 0.5294117647058824, 0.47058823529411764, 0.17647058823529413, 0.4117647058823529, 0.5294117647058824, 0.47058823529411764, 0.4117647058823529, 0.35294117647058826]",Synchronized,4,Solid,,
