Cluster,Final Position (Original),Off Road (Original),Speed (Original),Dist. to Cars (Original),Arousal (Original),Lap Time (Original),Final Position (PPO),Off Road (PPO),Speed (PPO),Dist. to Cars (PPO),Arousal (PPO),Lap Time (PPO),Final Position (DQN),Off Road (DQN),Speed (DQN),Dist. to Cars (DQN),Arousal (DQN),Lap Time (DQN),Final Position (Go-Explore),Off Road (Go-Explore),Speed (Go-Explore),Dist. to Cars (Go-Explore),Arousal (Go-Explore),Lap Time (Go-Explore)
Experts,1.000 ± 0.000,0.098 ± 0.016,45.052 ± 0.828,27.792 ± 3.349,20.332 ± 10.344,45.052 ± 0.828,3.100 ± 1.037,0.655 ± 0.099,31.079 ± 9.165,24.230 ± 4.855,0.400 ± 0.106,nan ± nan,2.667 ± 1.215,0.736 ± 0.091,30.854 ± 8.867,23.384 ± 7.559,0.247 ± 0.074,nan ± nan,3.429 ± 0.903,0.479 ± 0.038,24.279 ± 1.610,20.943 ± 6.349,0.247 ± 0.060,53.018 ± 7.786
Advanced,2.422 ± 0.494,0.150 ± 0.023,49.671 ± 1.931,31.875 ± 4.384,100.639 ± 49.895,49.671 ± 1.931,2.800 ± 1.108,0.613 ± 0.107,32.534 ± 10.977,32.304 ± 8.894,0.603 ± 0.132,nan ± nan,3.600 ± 0.691,0.740 ± 0.147,24.627 ± 11.052,17.943 ± 7.396,0.618 ± 0.097,nan ± nan,3.163 ± 1.370,0.450 ± 0.043,25.486 ± 1.946,22.431 ± 7.700,0.709 ± 0.057,55.792 ± 5.791
Beginners,3.877 ± 0.152,0.239 ± 0.051,87.273 ± 8.085,12.438 ± 4.212,50.286 ± 37.937,87.273 ± 8.085,4.000 ± 0.000,0.682 ± 0.191,19.423 ± 6.673,25.261 ± 10.368,0.595 ± 0.172,nan ± nan,4.000 ± 0.000,0.745 ± 0.147,21.816 ± 3.853,33.362 ± 7.221,0.448 ± 0.124,nan ± nan,4.000 ± 0.000,0.565 ± 0.044,21.160 ± 1.274,23.518 ± 3.494,0.607 ± 0.078,77.458 ± 18.043
Intermediates,3.812 ± 0.213,0.196 ± 0.026,57.532 ± 2.753,27.164 ± 5.058,35.895 ± 40.804,57.532 ± 2.753,3.000 ± 1.012,0.613 ± 0.103,31.231 ± 9.719,33.299 ± 11.035,0.177 ± 0.029,nan ± nan,4.000 ± 0.000,0.655 ± 0.167,26.777 ± 7.025,27.602 ± 6.702,0.205 ± 0.061,nan ± nan,3.167 ± 0.790,0.479 ± 0.052,23.468 ± 0.751,22.660 ± 5.221,0.206 ± 0.062,55.938 ± 11.471
