Cluster,Final Position (Original),Off Road (Original),Speed (Original),Dist. to Cars (Original),Arousal (Original),Lap Time (Original),Final Position (PPO),Off Road (PPO),Speed (PPO),Dist. to Cars (PPO),Arousal (PPO),Lap Time (PPO),Final Position (DQN),Off Road (DQN),Speed (DQN),Dist. to Cars (DQN),Arousal (DQN),Lap Time (DQN),Final Position (Go-Explore),Off Road (Go-Explore),Speed (Go-Explore),Dist. to Cars (Go-Explore),Arousal (Go-Explore),Lap Time (Go-Explore)
Experts,1.000 ± 0.000,0.098 ± 0.016,45.052 ± 0.828,27.792 ± 3.349,20.332 ± 10.344,45.052 ± 0.828,4.000 ± 0.000,0.642 ± 0.204,17.844 ± 7.807,19.663 ± 8.005,0.247 ± 0.052,nan ± nan,3.333 ± 1.017,0.706 ± 0.057,32.054 ± 9.296,44.236 ± 8.639,0.292 ± 0.046,nan ± nan,3.450 ± 1.015,0.464 ± 0.037,24.619 ± 0.873,27.996 ± 6.624,0.292 ± 0.061,51.214 ± 8.081
Advanced,2.422 ± 0.494,0.150 ± 0.023,49.671 ± 1.931,31.875 ± 4.384,100.639 ± 49.895,49.671 ± 1.931,4.000 ± 0.000,0.527 ± 0.215,25.536 ± 7.110,30.422 ± 13.952,0.720 ± 0.140,nan ± nan,4.000 ± 0.000,0.812 ± 0.224,16.440 ± 9.494,28.883 ± 9.194,0.530 ± 0.161,nan ± nan,3.857 ± 0.350,0.473 ± 0.043,24.901 ± 0.990,16.682 ± 3.214,0.700 ± 0.042,54.857 ± 5.740
Beginners,3.877 ± 0.152,0.239 ± 0.051,87.273 ± 8.085,12.438 ± 4.212,50.286 ± 37.937,87.273 ± 8.085,4.000 ± 0.000,0.512 ± 0.230,14.781 ± 5.892,21.527 ± 5.907,0.388 ± 0.129,nan ± nan,4.000 ± 0.000,0.748 ± 0.209,15.832 ± 4.598,28.037 ± 9.736,0.542 ± 0.153,nan ± nan,3.500 ± 1.285,0.562 ± 0.069,21.186 ± 1.677,18.296 ± 7.375,0.578 ± 0.095,74.875 ± 14.440
Intermediates,3.812 ± 0.213,0.196 ± 0.026,57.532 ± 2.753,27.164 ± 5.058,35.895 ± 40.804,57.532 ± 2.753,3.700 ± 0.679,0.667 ± 0.131,22.382 ± 9.333,26.583 ± 10.564,0.235 ± 0.067,nan ± nan,4.000 ± 0.000,0.695 ± 0.090,29.598 ± 2.436,37.630 ± 8.485,0.200 ± 0.056,nan ± nan,3.833 ± 0.428,0.497 ± 0.054,24.509 ± 2.346,20.767 ± 6.848,0.219 ± 0.046,53.583 ± 6.689
