model,signal,prediction,task,weight,score_mean,score_ci,arousal_mean,arousal_ci,scores_raw,arousal_raw,frequency,cluster,game
Random,Ordinal,Classification,Maximize,0.5,0.2,0.5553,0.855,0.117,"[1.0, 0.0, 0.0, 0.0, 0.0]","[0.7, 0.875, 0.85, 0.95, 0.9]",Asynchronized,0,
Random,Ordinal,Classification,Maximize,1,0,0,0.81,0.0947,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.7, 0.9, 0.85, 0.825, 0.775]",Asynchronized,0,
Random,Ordinal,Classification,Minimize,0,0,0,0.105,0.0673,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.075, 0.075, 0.075, 0.1, 0.2]",Asynchronized,0,
Random,Ordinal,Classification,Minimize,0.5,0.2,0.5553,0.23,0.0708,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.225, 0.325, 0.225, 0.175, 0.2]",Asynchronized,0,
Random,Ordinal,Classification,Minimize,1,0.2,0.5553,0.125,0.0905,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.175, 0.15, 0.075, 0.2, 0.025]",Asynchronized,0,
Random,Ordinal,Regression,Maximize,0,0.2,0.5553,0.3732,0.0409,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.4024050875436515, 0.393297848421149, 0.3833850273201242, 0.31879096736386425, 0.36809071333892646]",Asynchronized,0,
Random,Ordinal,Regression,Maximize,0.5,0,0,0.3753,0.0186,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.37498719116020945, 0.3560188917722553, 0.3779659594576806, 0.3702135932696983, 0.39752761664986613]",Asynchronized,0,
Random,Ordinal,Regression,Maximize,1,0.2,0.5553,0.403,0.0262,"[1.0, 0.0, 0.0, 0.0, 0.0]","[0.376851607534103, 0.4138906492181122, 0.3873703407049179, 0.40731429649703205, 0.4296302759945393]",Asynchronized,0,
Random,Ordinal,Regression,Minimize,0,0.2,0.5553,0.1564,0.0136,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0.15539561822824174, 0.1702563476720825, 0.16431415890343484, 0.14843965918663893, 0.14367323839664456]",Asynchronized,0,
Random,Ordinal,Regression,Minimize,0.5,0.2,0.5553,0.1656,0.0228,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.17882237135246395, 0.15579619289748373, 0.15489587647933517, 0.14759846699330953, 0.19097581405472014]",Asynchronized,0,
Random,Ordinal,Regression,Minimize,1,0.2,0.5553,0.1794,0.0188,"[1.0, 0.0, 0.0, 0.0, 0.0]","[0.2010029421839863, 0.1717839447874576, 0.18838896892033516, 0.17292992223985493, 0.16310852501261974]",Asynchronized,0,
Random,Ordinal,Classification,Minimize,0,0,0,0.105,0.0673,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.075, 0.075, 0.075, 0.1, 0.2]",Asynchronized,0,
Random,Ordinal,Classification,Minimize,0.5,0.2,0.5553,0.23,0.0708,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.225, 0.325, 0.225, 0.175, 0.2]",Asynchronized,0,
Random,Ordinal,Classification,Minimize,1,0.2,0.5553,0.125,0.0905,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.175, 0.15, 0.075, 0.2, 0.025]",Asynchronized,0,
Random,Ordinal,Regression,Maximize,0,0.2,0.5553,0.3732,0.0409,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.4024050875436515, 0.393297848421149, 0.3833850273201242, 0.31879096736386425, 0.36809071333892646]",Asynchronized,0,
Random,Ordinal,Regression,Maximize,0.5,0,0,0.3753,0.0186,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.37498719116020945, 0.3560188917722553, 0.3779659594576806, 0.3702135932696983, 0.39752761664986613]",Asynchronized,0,
Random,Ordinal,Regression,Maximize,1,0.2,0.5553,0.403,0.0262,"[1.0, 0.0, 0.0, 0.0, 0.0]","[0.376851607534103, 0.4138906492181122, 0.3873703407049179, 0.40731429649703205, 0.4296302759945393]",Asynchronized,0,
Random,Ordinal,Regression,Minimize,0,0.2,0.5553,0.1564,0.0136,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0.15539561822824174, 0.1702563476720825, 0.16431415890343484, 0.14843965918663893, 0.14367323839664456]",Asynchronized,0,
Random,Ordinal,Regression,Minimize,0.5,0.2,0.5553,0.1656,0.0228,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.17882237135246395, 0.15579619289748373, 0.15489587647933517, 0.14759846699330953, 0.19097581405472014]",Asynchronized,0,
Random,Ordinal,Regression,Minimize,1,0.2,0.5553,0.1794,0.0188,"[1.0, 0.0, 0.0, 0.0, 0.0]","[0.2010029421839863, 0.1717839447874576, 0.18838896892033516, 0.17292992223985493, 0.16310852501261974]",Asynchronized,0,
PPO,Ordinal,Classification,Minimize,0,16.8,9.3908,0.32,0.2133,"[24.0, 20.0, 12.0, 6.0, 22.0]","[0.175, 0.375, 0.125, 0.55, 0.375]",Asynchronized,0,
PPO,Ordinal,Classification,Maximize,0,14.8,7.9699,0.625,0.1951,"[14.0, 20.0, 12.0, 6.0, 22.0]","[0.55, 0.625, 0.875, 0.45, 0.625]",Asynchronized,0,
PPO,Ordinal,Regression,Minimize,0,14.8,7.9699,0.263,0.0398,"[12.0, 20.0, 6.0, 14.0, 22.0]","[0.2592611310845242, 0.24696164547838279, 0.22104231243208056, 0.2842338349772617, 0.30331703795772047]",Asynchronized,0,
PPO,Ordinal,Regression,Maximize,0,18.2,5.1495,0.3145,0.0513,"[17.0, 18.0, 22.0, 12.0, 22.0]","[0.2939572291811928, 0.3438103586900979, 0.34133543630130586, 0.25099991192016746, 0.34252754821162673]",Asynchronized,0,
PPO,Raw,Classification,Minimize,0,16,8.9538,0.565,0.4237,"[22.0, 6.0, 24.0, 14.0, 14.0]","[0.325, 0.9, 0.3, 0.975, 0.325]",Asynchronized,0,
PPO,Raw,Classification,Maximize,0,13.6,11.2985,0.355,0.3935,"[4.0, 6.0, 24.0, 12.0, 22.0]","[0.175, 0.1, 0.725, 0.1, 0.675]",Asynchronized,0,
PPO,Raw,Regression,Minimize,0,14.8,7.9699,0.2663,0.0473,"[12.0, 20.0, 6.0, 14.0, 22.0]","[0.2638498898688704, 0.2365878407433628, 0.2581938054878264, 0.3314368561664596, 0.24167267637886108]",Asynchronized,0,
PPO,Raw,Regression,Maximize,0,14.8,7.9699,0.2812,0.0813,"[12.0, 20.0, 6.0, 14.0, 22.0]","[0.26862601911462836, 0.31508027238398795, 0.2757328679878265, 0.18475075997505336, 0.36178681212104846]",Asynchronized,0,
DQN,Ordinal,Classification,Minimize,0,14,13.6301,0.605,0.4241,"[6.0, 6.0, 6.0, 25.0, 27.0]","[0.875, 0.975, 0.675, 0.25, 0.25]",Asynchronized,0,
DQN,Ordinal,Classification,Maximize,0,17.2,13.3847,0.485,0.4921,"[5.0, 6.0, 25.0, 23.0, 27.0]","[0.1, 0.025, 0.825, 0.625, 0.85]",Asynchronized,0,
DQN,Ordinal,Regression,Minimize,0,13.6,13.5051,0.287,0.0289,"[5.0, 6.0, 25.0, 6.0, 26.0]","[0.26645446046162397, 0.31842565208021556, 0.28914033288042995, 0.26216395025141537, 0.29882994149252773]",Asynchronized,0,
DQN,Ordinal,Regression,Maximize,0,17.6,13.2166,0.288,0.0647,"[6.0, 6.0, 24.0, 25.0, 27.0]","[0.2774433853700756, 0.20155611370317636, 0.3292931233271957, 0.3142674825200812, 0.317465969670564]",Asynchronized,0,
DQN,Raw,Classification,Minimize,0,13.2,15.2931,0.59,0.3893,"[6.0, 6.0, 1.0, 26.0, 27.0]","[0.75, 0.875, 0.825, 0.25, 0.25]",Asynchronized,0,
DQN,Raw,Classification,Maximize,0,17.2,12.7051,0.54,0.3398,"[6.0, 6.0, 24.0, 25.0, 25.0]","[0.4, 0.125, 0.725, 0.675, 0.775]",Asynchronized,0,
DQN,Raw,Regression,Minimize,0,16.4,11.929,0.2865,0.043,"[6.0, 6.0, 24.0, 25.0, 21.0]","[0.2940091233775019, 0.310296867738478, 0.3170727310320362, 0.2811591213494539, 0.22978234713058918]",Asynchronized,0,
DQN,Raw,Regression,Maximize,0,18,13.6301,0.3048,0.1038,"[6.0, 6.0, 26.0, 25.0, 27.0]","[0.22139487783331427, 0.20628935621213165, 0.37389051998220385, 0.3528967019151895, 0.3696124930977821]",Asynchronized,0,
Random,Ordinal,Classification,Minimize,0,0,0,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0]",Synchronized,0,
Random,Ordinal,Classification,Maximize,0,0,0,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0]",Synchronized,0,
Random,Ordinal,Regression,Minimize,0,0,0,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0]",Synchronized,0,
Random,Ordinal,Regression,Maximize,0,0.2,0.5553,0.0671,0.1864,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0, 0, 0, 0.3356940935832668, 0]",Synchronized,0,
Random,Raw,Classification,Minimize,0,0,0,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0]",Synchronized,0,
Random,Raw,Classification,Maximize,0,0,0,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0]",Synchronized,0,
Random,Raw,Regression,Minimize,0,0.2,0.5553,0.0644,0.1789,"[1.0, 0.0, 0.0, 0.0, 0.0]","[0.32208992268113606, 0, 0, 0, 0]",Synchronized,0,
Random,Raw,Regression,Maximize,0,0.2,0.5553,0.0406,0.1126,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0, 0, 0, 0, 0.2028122612560703]",Synchronized,0,
PPO,Ordinal,Classification,Minimize,0,13.8,8.3478,0.5245,0.3782,"[4.0, 20.0, 11.0, 14.0, 20.0]","[0.5, 0.25, 0.2727272727272727, 1.0, 0.6]",Synchronized,0,
PPO,Ordinal,Classification,Maximize,0,14.8,7.9699,0.5764,0.417,"[14.0, 20.0, 12.0, 6.0, 22.0]","[0.5714285714285714, 0.75, 0.8333333333333334, 0.0, 0.7272727272727273]",Synchronized,0,
PPO,Ordinal,Regression,Minimize,0,14.8,7.9699,0.2735,0.0465,"[12.0, 20.0, 6.0, 14.0, 22.0]","[0.2889996326224895, 0.24792265920858414, 0.32431744964396647, 0.278872669076598, 0.2275764455403098]",Synchronized,0,
PPO,Ordinal,Regression,Maximize,0,18.2,5.1495,0.2705,0.0415,"[17.0, 18.0, 22.0, 12.0, 22.0]","[0.25529366256172703, 0.2824412723362911, 0.30156429056628525, 0.2195888695466444, 0.293480080276342]",Synchronized,0,
PPO,Raw,Classification,Minimize,0,16,8.9538,0.6129,0.4525,"[22.0, 6.0, 24.0, 14.0, 14.0]","[0.2727272727272727, 1.0, 0.2916666666666667, 1.0, 0.5]",Synchronized,0,
PPO,Raw,Classification,Maximize,0,13.6,11.2985,0.3288,0.4723,"[4.0, 6.0, 24.0, 12.0, 22.0]","[0.0, 0.16666666666666666, 0.75, 0.0, 0.7272727272727273]",Synchronized,0,
PPO,Raw,Regression,Minimize,0,14.8,7.9699,0.283,0.0748,"[12.0, 20.0, 6.0, 14.0, 22.0]","[0.2676077019386429, 0.23415649092458707, 0.359753146613948, 0.33132299365099255, 0.2223819142715967]",Synchronized,0,
PPO,Raw,Regression,Maximize,0,14.8,7.9699,0.2267,0.0793,"[12.0, 20.0, 6.0, 14.0, 22.0]","[0.1979847339368438, 0.29799794193370166, 0.1618110486321772, 0.18331570430947466, 0.2922903800327237]",Synchronized,0,
