model,signal,prediction,task,weight,score_mean,score_ci,arousal_mean,arousal_ci,scores_raw,arousal_raw,frequency,cluster,game
Random,Interval,Regression,Minimize,1,0,0,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0]",Synchronized,0,
Random,Ordinal,Classification,Minimize,1,0,0,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0]",Synchronized,0,
Random,Ordinal,Regression,Minimize,1,0,0,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0]",Synchronized,0,
PPO,Interval,Classification,Minimize,1,6.8,5.7171,0.6067,0.4786,"[0.0, 10.0, 6.0, 6.0, 12.0]","[0, 0.7, 0.8333333333333334, 1.0, 0.5]",Synchronized,0,
PPO,Interval,Regression,Minimize,1,16.6,9.065,0.2619,0.0582,"[17.0, 4.0, 19.0, 21.0, 22.0]","[0.2642656343500433, 0.3385292127565481, 0.25658947371105223, 0.21573913575455586, 0.23424486676405065]",Synchronized,0,
PPO,Ordinal,Classification,Minimize,1,12.2,7.3667,0.6054,0.3466,"[19.0, 16.0, 6.0, 14.0, 6.0]","[0.3157894736842105, 0.6875, 0.6666666666666666, 0.35714285714285715, 1.0]",Synchronized,0,
PPO,Ordinal,Regression,Minimize,1,13,5.5529,0.2579,0.0535,"[16.0, 14.0, 10.0, 7.0, 18.0]","[0.32257439475740096, 0.2719854769852988, 0.2557743253509659, 0.21216592212843283, 0.2270110907927041]",Synchronized,0,
DQN,Interval,Classification,Minimize,1,6,0,0.9667,0.0925,"[6.0, 6.0, 6.0, 6.0, 6.0]","[1.0, 1.0, 1.0, 0.8333333333333334, 1.0]",Synchronized,0,
DQN,Interval,Regression,Minimize,1,9.4,9.4399,0.3083,0.0628,"[23.0, 6.0, 6.0, 6.0, 6.0]","[0.22389474899229111, 0.31145432710871795, 0.3228275419653083, 0.323628123822898, 0.3598435179777098]",Synchronized,0,
DQN,Ordinal,Classification,Minimize,1,4,4.0235,0.7143,0.5467,"[0.0, 6.0, 1.0, 7.0, 6.0]","[0, 1.0, 1.0, 0.5714285714285714, 1.0]",Synchronized,0,
Random,Interval,Classification,Maximize,1,0,0,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0]",Synchronized,0,
Random,Interval,Regression,Maximize,1,0,0,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0]",Synchronized,0,
Random,Ordinal,Classification,Maximize,1,0,0,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0]",Synchronized,0,
Random,Ordinal,Regression,Maximize,1,0,0,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0]",Synchronized,0,
PPO,Interval,Classification,Maximize,1,7,9.8554,0.3607,0.4376,"[6.0, 0.0, 10.0, 19.0, 0.0]","[0.6666666666666666, 0, 0.4, 0.7368421052631579, 0]",Synchronized,0,
PPO,Interval,Regression,Maximize,1,14.8,9.0138,0.2626,0.0932,"[18.0, 8.0, 6.0, 21.0, 21.0]","[0.2641045477128611, 0.21187352143397645, 0.16620780769425134, 0.34240499913653055, 0.328200264680421]",Synchronized,0,
PPO,Ordinal,Classification,Maximize,1,15.4,4.4423,0.6957,0.142,"[14.0, 14.0, 18.0, 20.0, 11.0]","[0.5714285714285714, 0.6428571428571429, 0.7777777777777778, 0.85, 0.6363636363636364]",Synchronized,0,
PPO,Ordinal,Regression,Maximize,1,20.8,1.3602,0.3001,0.0232,"[20.0, 22.0, 20.0, 20.0, 22.0]","[0.3077243117635242, 0.32887324837963045, 0.28304629679805504, 0.29491773720530584, 0.2861189494531771]",Synchronized,0,
DQN,Interval,Classification,Maximize,1,0,0,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0]",Synchronized,0,
